,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,營業毛利（毛損）,生物資產當期公允價值減出售成本之變動利益（損失）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1504,8287,英格爾科,917352,693355,,223997,,,,223997,111595,,112402,12112,124514,80550,43964,,,43964,17771,,61735,43964,,,61735,,,0.3
1505,8289,泰藝電子,726738,604315,,122423,,,,122423,177906,,-55483,56511,1028,8117,-7089,,,-7089,8046,,957,-7089,,0,957,,0,-0.09
1506,8291,尚茂電子,336827,310078,,26749,,,,26749,34705,,-7956,-1315,-9271,0,-9271,,,-9271,0,,-9271,,,,,,,-0.12
1507,8299,群聯電子,19628699,15486815,,4141884,,,,4141884,1830653,,2311231,315479,2626710,508211,2118499,,,2118499,-61325,,2057174,2118499,,0,2057174,,0,10.75
1508,8341,日友,986661,364769,,621892,,,,621892,184544,,437348,14519,451867,97871,353996,,,353996,4160,,358156,353996,,,358156,,,3.17
1509,8342,益張,665421,567283,,98138,,,,98138,70408,,27730,21921,49651,8534,41117,,,41117,-1452,,39665,39612,,1505,38299,,1366,1.2
1510,8349,恒耀國際,5525192,4291646,,1233546,,,,1233546,792527,-2438,438581,77902,516483,110063,406420,,,406420,27379,,433799,309076,,97344,323854,,109945,2.69
1511,8354,冠好科技,389548,313951,,75597,,,,75597,55469,,20128,38289,58417,9820,48597,,,48597,5868,,54465,48597,0,0,54465,0,0,0.76
1512,8358,金居開發,3359283,2701680,,657603,,,,657603,121704,,535899,-15642,520257,118458,401799,,,401799,826,,402625,404813,,-3014,405639,,-3014,1.6
1513,8367,建新國際,811696,579903,,231793,,,,231793,126037,,105756,-13204,92552,17662,74890,,,74890,-141,,74749,60930,,13960,60789,,13960,0.83
1514,8374,羅昇,1939013,1556397,,382616,,,,382616,231700,,150916,-821,150095,41351,108744,,,108744,10137,,118881,108744,,,118881,,,1.22
1515,8383,千附,1249837,904005,,345832,,,,345832,181577,,164255,30150,194405,25643,168762,,,168762,2876,,171638,168762,,,171638,,,1.43
1516,8390,金益鼎,2039602,1902118,,137484,,,,137484,108829,,28655,78740,107395,22083,85312,,,85312,13342,,98654,94710,,-9398,107597,,-8943,0.99
1517,8401,白紗科技,678489,527923,,150566,,,,150566,130940,,19626,2956,22582,5576,17006,,,17006,781,,17787,17006,,,17787,,0,0.27
1518,8403,盛弘醫藥,1378121,1166518,,211603,,,,211603,169871,-26,41706,2481,44187,13867,30320,,,30320,-32299,,-1979,33850,,-3530,7304,,-9283,0.4
1519,8404,百和興業-KY,2177087,1323012,,854075,,,,854075,551222,,302853,-51659,251194,60475,190719,,,190719,-12610,,178109,169905,,20814,155194,,22915,0.58
1520,8406,金可-KY,3454599,1615785,,1838814,,,,1838814,1171658,,667156,-126927,540229,146522,393707,,,393707,254340,,648047,397876,,-4169,651793,,-3746,4.3
1521,8409,商之器,79038,21209,,57829,,,,57829,85835,,-28006,5690,-22316,-3713,-18603,,,-18603,1526,,-17077,-18603,,,-17077,,,-0.66
1522,8410,森田,446191,302782,,143409,,,,143409,107125,,36284,18125,54409,11747,42662,,,42662,171,,42833,,,,,,,1.17
1523,8411,福貞-KY,2680776,2449071,,231705,,,,231705,274309,0,-42604,-37210,-79814,7046,-86860,,,-86860,11873,,-74987,-86860,,,-74987,,,-0.5
1524,8415,大國鋼,8219271,5758695,,2460576,,,,2460576,1534136,4,926444,-23648,902796,196490,706306,,,706306,110558,,816864,706306,0,0,816864,0,0,1.16
1525,8416,實威,560041,249989,,310052,,,,310052,157177,,152875,14844,167719,39760,127959,,,127959,219,,128178,127959,,,128178,,,4.54
1526,8418,捷必勝-KY,818948,778604,,40344,,,484,40828,126733,,-85905,-19379,-105284,6745,-112029,,,-112029,6399,,-105630,-112029,,0,-105630,,0,-1.52
1527,8420,明揚,725528,671267,,54261,,,,54261,51452,650,3459,5679,9138,-733,9871,,,9871,,,9871,,,,,,,0.19
1528,8421,旭源,588415,468200,,120215,,496,,119719,102289,,17430,8082,25512,6263,19249,,,19249,-23883,,-4634,27583,,-8334,12758,,-17392,0.52
1529,8422,可寧衛,1779736,604618,,1175118,,,,1175118,222202,,952916,13414,966330,225711,740619,,,740619,202,,740821,740619,,0,740821,,0,6.8
1530,8423,保綠-KY,165244,119886,,45358,,,,45358,23077,,22281,-632,21649,2423,19226,,,19226,4775,,24001,19226,,,24001,,,0.96
1531,8424,惠普,473818,336275,,137543,,,,137543,39015,,98528,3635,102163,21149,81014,,,81014,124,,81138,81014,,,81138,,,2.25
1532,8426,紅木-KY,502354,454440,,47914,,,,47914,166256,,-118342,-2470,-120812,-1838,-118974,0,,-118974,19536,,-99438,-118974,,,-99438,,,-2.37
1533,8427,基勝-KY,3285139,2747028,,538111,,,,538111,554398,,-16287,-16206,-32493,39588,-72081,,,-72081,28980,,-43101,-72081,,,-43101,,,-0.69
1534,8429,金麗-KY,2122321,1606589,,515732,,,,515732,204161,,311571,18035,329606,113477,216129,,,216129,37426,,253555,215128,,1001,252554,,1001,1.2
1535,8431,匯鑽科,497368,478729,,18639,,,,18639,63749,,-45110,2595,-42515,-2281,-40234,,,-40234,14161,,-26073,-30900,,-9334,-18582,,-7491,-0.7
1536,8432,東生華,290515,97020,,193495,,0,0,193495,146643,0,46852,2142,48994,9679,39315,,,39315,28097,0,67412,,,,,,,1.02
1537,8433,弘帆,1522456,1193115,,329341,,,,329341,193586,,135755,35940,171695,16393,155302,,,155302,7272,,162574,146690,,8612,153798,,8776,2.82
1538,8435,鉅邁,356624,178561,,178063,,,,178063,114533,,63530,6699,70229,23240,46989,,,46989,1807,,48796,46989,,,48796,,,1.48
